New_Id,Sample_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
NYC098,NYC98,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
NYC099,NYC99,,,,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE100,PHE100,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE101,PHE101,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE102,PHE102,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE103,PHE103,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE104,PHE104,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE105,PHE105,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE106,PHE106,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE107,PHE107,,,,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE108,PHE108,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE109,PHE109,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE011,PHE11,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE110,PHE110,,,,,,,,G8,,,,,,,,,,,,,,,,
PHE111,PHE111,,,,,,,,G1-240G_2pos,,,,,,,,,,,,,,,,
PHE112,PHE112,aac(3)-IIe,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,,,
PHE113,PHE113,,,,,,,blaCMY-2-like,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE115,PHE115,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE116,PHE116,aac(3)-II_3neg,,,,,,,,,,,,,blaNDM,,,,,,,,blaTEM-1-like,,
PHE117,PHE117,,,,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE118,PHE118,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE012,PHE12,negative,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE120,PHE120,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE121,PHE121,,,,aadB,,,blaCMY-2-like,,,,,,,,,,,,,,,,,blaVIM-1-like
PHE122,PHE122,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE123,PHE123,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE124,PHE124,,,,,,,,G9-240D,,,,,,,,,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE125,PHE125,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE127,PHE127,aac(3)-IId,,aacA4notGEN_1neg,,armA,,,,blaDHA,,,,,blaNDM,,,,,,,,blaTEM-1-like,,
PHE128,PHE128,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE129,PHE129,,,,,,,,G9-240D,,,,,,,,,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE013,PHE13,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE130,PHE130,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,,,
PHE131,PHE131,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE132,PHE132,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE133,PHE133,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE136,PHE136,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE137,PHE137,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE139,PHE139,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE014,PHE14,negative,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE140,PHE140,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE141,PHE141,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE143,PHE143,,,,,,,,,,,,,,blaNDM,,,,,,,,blaTEM-1-like,,
PHE144,PHE144,aac(3)-IIe,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
PHE147,PHE147,,,,,,,blaCMY-2-like,G9-240G,,,,,,,,,blaOXA-181-like,,,,,blaTEM-1-like,,
PHE148,PHE148,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE015,PHE15,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE150,PHE150,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G_2pos,,,,,,,,,,,,,,,,
PHE151,PHE151,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE152,PHE152,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
PHE153,PHE153,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE154,PHE154,aac(3)-IId,,,,,,blaCMY-2-like,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE155,PHE155,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE156,PHE156,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE157,PHE157,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE158,PHE158,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE159,PHE159,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE016,PHE16,,,,,,,blaCMY-2-like,G1-240G,,,,,,blaNDM,,,,rmtB,,,,blaTEM-1-like,,
PHE160,PHE160,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE161,PHE161,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
PHE162,PHE162,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE163,PHE163,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,,,
PHE164,PHE164,,,,,,,blaCMY-2-like,G1-240G,,,,,,blaNDM,,,,,,,,blaTEM-1-like,,
PHE165,PHE165,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE166,PHE166,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,rmtC,,,blaTEM-1-like,,
PHE167,PHE167,,,,,,,,,blaDHA,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,,,
PHE168,PHE168,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
PHE169,PHE169,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE017,PHE17,aac(3)-IIe,,,,armA,,blaCMY-2-like,G1-240G,,,,,,,blaOXA-10-like,blaOXA-30-like,,,,rmtF,,blaTEM-1-like,,
PHE170,PHE170,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE171,PHE171,,,,,,,,,,,,,,,,,,,,,,,,
PHE172,PHE172,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE173,PHE173,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE174,PHE174,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE175,PHE175,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE176,PHE176,,,,,,,,,,,,,,blaNDM,,,,,,,,,,
PHE177,PHE177,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,,,
PHE178,PHE178,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE179,PHE179,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE180,PHE180,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE181,PHE181,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE182,PHE182,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE183,PHE183,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE184,PHE184,,,,aadB,,,,G9-240D,,,,,blaKPC,,,,,,,,,,,
PHE185,PHE185,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE186,PHE186,,,,,,,,G1-240D_2pos,,,,,,,,,,,,,,blaTEM-1-like,,
PHE187,PHE187,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE188,PHE188,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE189,PHE189,aac(3)-IIe,,,,,,,,blaDHA,,,,,,,blaOXA-30-like,blaOXA-181-like,,,,,blaTEM-1-like,,
PHE019,PHE19,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE190,PHE190,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE191,PHE191,aac(3)-IIe,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE192,PHE192,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE193,PHE193,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
PHE194,PHE194,aac(3)-IIe,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,,,
PHE195,PHE195,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE196,PHE196,,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE197,PHE197,,,,,,,,G2,,,,,,,,,,,,,,,,
PHE198,PHE198,aac(3)-IIe,,aacA4GEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE199,PHE199,,,,,armA,,,G1-240G+G9-240D,,,,,,,,,blaOXA-48-like,,,,,,,
PHE002,PHE2,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
PHE020,PHE20,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE200,PHE200,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE201,PHE201,aac(3)-IIe_3neg,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE202,PHE202,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE203,PHE203,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE204,PHE204,,,,,,,,,,,,,,,,,,,,,,,,
PHE205,PHE205,,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE206,PHE206,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE207,PHE207,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE208,PHE208,,,,,,,,,,,,,,,,,,,,,,,,
PHE209,PHE209,,,,,,,,,,,,,,,,,,,,,,,,
PHE021,PHE21,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE210,PHE210,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE211,PHE211,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE212,PHE212,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE213,PHE213,,,,,,,,,,,,,,,,,,,,,,,,
PHE214,PHE214,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE215,PHE215,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE216,PHE216,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE217,PHE217,,,,,,,,,,,,,,,,,,,,,,,,
PHE218,PHE218,,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE219,PHE219,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE022,PHE22,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE220,PHE220,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE221,PHE221,,,,,,,,,,,,,,,,,,,,,,,,
PHE222,PHE222,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE223,PHE223,,,,,,,,,,,,,,,,,,,,,,,,
PHE225,PHE225,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE227,PHE227,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE228,PHE228,,,,,,,,,,,,,,,,,,,,,,,,
PHE229,PHE229,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE230,PHE230,,,,,,,,,,,,,,,,,,,,,,,,
PHE231,PHE231,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE232,PHE232,,,,,,,,,,,,,,,,,,,,,,,,
PHE233,PHE233,negative,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE234,PHE234,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE235,PHE235,,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE236,PHE236,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE237,PHE237,,,,,,,,,,,,,,,,,,,,,,,,
PHE238,PHE238,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE239,PHE239,negative,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE024,PHE24,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE240,PHE240,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE241,PHE241,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE242,PHE242,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE243,PHE243,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE244,PHE244,,,,,,,,,,,,,,,,,,,,,,,,
PHE245,PHE245,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE246,PHE246,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE247,PHE247,,,,,,,,,,,,,,,,,,,,rmtF_MUT,,,,
PHE248,PHE248,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE250,PHE250,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE251,PHE251,,,,,,,,,,,,,,,,,,,,,,,,
PHE252,PHE252,,,,,,,,,,,,,,,,,,,,,,,,
PHE253,PHE253,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE254,PHE254,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE255,PHE255,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE256,PHE256,,,,,,,,,,,,,,,,,,,,,,,,
PHE257,PHE257,,,,aadB,,,,,,,,,,,,,,,,,,,,
PHE258,PHE258,,,,,,,,,,,,,,,,,,,,,,,,
PHE259,PHE259,,,,,,,,,,,,,,,,,,,,,,,,
PHE026,PHE26,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE260,PHE260,,,,,,,,,,,,,,,,,,,,,,,,
PHE261,PHE261,,,,,,,,,,,,,,,,,,,,,,,,
PHE262,PHE262,,,,,,,,,,,,,,,,,,,,,,,,
PHE263,PHE263,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE264,PHE264,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE265,PHE265,,,,,,,,,,,,,,,,,,,,,,,,
PHE266,PHE266,,,,,,,,,,,,,,,,,,,,,,,,
PHE267,PHE267,,,,,,,,,,,,,,,,,,,,,,,,
PHE268,PHE268,,,,,,,,,,,,,,,,,,,,,,,,
PHE269,PHE269,,,,,,,,,,,,,,,,,,,,,,,,
PHE027,PHE27,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE270,PHE270,,,,,,,,,,,,,,,,,,,,,,,,
PHE271,PHE271,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE272,PHE272,,,,,,,,,,,,,,,,,,,,,,,,
PHE273,PHE273,,,,,,,,,,,,,,,,,,,,,,,,
PHE274,PHE274,,,,,,,,,,,,,,,,,,,,,,,,
PHE275,PHE275,,,,,,,,,,,,,,,,,,,,,,,,
PHE276,PHE276,,,,,,,,,,,,,,,,,,,,,,,,
PHE277,PHE277,,,,,,,,,,,,,,,,,,,,,,,,
PHE278,PHE278,,,,,,,,,,,,,,,,,,,,,,,,
PHE279,PHE279,,,,,,,,,,,,,,,,,,,,,,,,
PHE280,PHE280,,,,,,,,,,,,,,,,,,,,,,,,
PHE281,PHE281,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE282,PHE282,,,,,,,,,,,,,,,,,,,,,,,,
PHE283,PHE283,,,,,,,,,,,,,,,,,,,,,,,,
PHE284,PHE284,,,,,,,,,,,,,,,,,,,,,,,,
PHE285,PHE285,,,,,,,,,,,,,,,,,,,,,,,,
PHE286,PHE286,,,,,,,,,,,,,,,,,,,,,,,,
PHE287,PHE287,,,,,,,,,,,,,,,,,,,,,,,,
PHE288,PHE288,,,,,,,,,,,,,,,,,,,,,,,,
PHE289,PHE289,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE029,PHE29,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE290,PHE290,,,,,,,,,,,,,,,,,,,,,,,,
PHE291,PHE291,,,,,,,,,,,,,,,,,,,,,,,,
PHE292,PHE292,,,,,,,,,,,,,,,,,,,,,,,,
PHE293,PHE293,,,,,,,,,,,,,,,,,,,,,,,,
PHE294,PHE294,,,,,,,,,,,,,,,,,,,,,,,,
PHE295,PHE295,,,,,,,,,,,,,,,,,,,,,,,,
PHE296,PHE296,,,,,,,,,,,,,,,,,,,,,,,,
PHE297,PHE297,,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE298,PHE298,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE299,PHE299,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE003,PHE3,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE030,PHE30,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,,,
PHE300,PHE300,,,,,,,,,,,,,,,,,,,,,,,,
PHE031,PHE31,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE032,PHE32,aac(3)-IIe,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE033,PHE33,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE034,PHE34,aac(3)-IIe,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE035,PHE35,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
PHE036,PHE36,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE037,PHE37,aac(3)-IId,,,,,,blaCMY-2-like,G1-240G,,,,blaIMP-4-like,,,,blaOXA-30-like,blaOXA-181-like,,,,,blaTEM-1-like,,
PHE038,PHE38,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE004,PHE4,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
PHE040,PHE40,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE041,PHE41,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE042,PHE42,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE044,PHE44,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE045,PHE45,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE046,PHE46,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE047,PHE47,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE048,PHE48,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE049,PHE49,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE050,PHE50,aac(3)-IId,,aacA4notGEN_1neg,,armA,,,,blaDHA,,,,,blaNDM,,,,,,,,blaTEM-1-like,,
PHE051,PHE51,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE052,PHE52,aac(3)-IIe,,,,,,,G1-240G_2pos,,,,,,blaNDM,,blaOXA-30-like,,,,,,,,
PHE053,PHE53,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE054,PHE54,aac(3)-IIe,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE055,PHE55,aac(3)-IIe,,aacA4GEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE056,PHE56,,,,,armA,,,G1-240G,,,,,,blaNDM,,,,,,,,blaTEM-1-like,,
PHE057,PHE57,aac(3)-IIe,,aacA4GEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE058,PHE58,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE059,PHE59,aac(3)-IIe,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,,,
PHE006,PHE6,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE060,PHE60,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE061,PHE61,,,,,armA,,blaCMY-2-like,,,,,,,blaNDM,,,,,,,,,,
PHE062,PHE62,aac(3)-IIe,,,aadB,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,blaVIM-1-like
PHE063,PHE63,aac(3)-IIe,,,,,,,,,,,,,,,blaOXA-30-like,blaOXA-181-like,,,,,blaTEM-1-like,,
PHE064,PHE64,,,,,,,,G1-240G,,,,,,blaNDM,,,,,,rmtF,,blaTEM-1-like,,
PHE065,PHE65,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE066,PHE66,aac(3)-IIe_3neg,,,,armA,,blaCMY-2-like,G1-240G,,,,,,,,,blaOXA-181-like,,,rmtF,,blaTEM-1-like,,
PHE067,PHE67,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE068,PHE68,aac(3)-IId,,,,armA,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE069,PHE69,aac(3)-IIe,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE007,PHE7,,,,,armA,,blaCMY-2-like,G1-240G,,,,,,,,,blaOXA-181-like,,,,,,,
PHE070,PHE70,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE071,PHE71,aac(3)-IId,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,blaVIM-1-like
PHE072,PHE72,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE073,PHE73,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,,,
PHE074,PHE74,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G_2pos,,,,,,,,,,,,,,,,
PHE075,PHE75,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE076,PHE76,aac(3)-IIe,,,,,,,,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,,,
PHE077,PHE77,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE078,PHE78,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE079,PHE79,aac(3)-IIe,,aacA4GEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE008,PHE8,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE080,PHE80,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE081,PHE81,,,,,armA,,,G1-240G+G9-240D,,,,,,,,,blaOXA-48-like,,,,,,,
PHE082,PHE82,aac(3)-IIe,,,,,,,G1-240G,,,,blaIMP-4-like_13neg,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE083,PHE83,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE084,PHE84,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE085,PHE85,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE086,PHE86,aac(3)-IIe,,,aadB,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,blaVIM-1-like
PHE087,PHE87,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE088,PHE88,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
