Sample Id,Site,Species,3GCR,GENR,Old_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
PHE060,UK,K. pneumoniae,R,R,PHE060,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE061,UK,K. pneumoniae,R,S,PHE061,,,,,armA,,blaCMY-2-like,,,,,,,blaNDM,,,,,,,,,,
PHE062,UK,K. pneumoniae,R,R,PHE062,aac(3)-IIe,,,aadB,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,blaVIM-1-like
PHE063,UK,K. pneumoniae,S,R,PHE063,aac(3)-IIe,,,,,,,,,,,,,,,blaOXA-30-like,blaOXA-181-like,,,,,blaTEM-1-like,,
PHE064,UK,K. pneumoniae,R,R,PHE064,,,,,,,,G1-240G,,,,,,,,,,,,rmtF,,blaTEM-1-like,,
PHE065,UK,K. pneumoniae,R,R,PHE065,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE066,UK,K. pneumoniae,R,R,PHE066,aac(3)-IIe_3neg,,,,armA,,blaCMY-2-like,G1-240G,,,,,,,,,blaOXA-181-like,,,rmtF,,blaTEM-1-like,,
PHE067,UK,K. pneumoniae,R,R,PHE067,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE068,UK,K. pneumoniae,R,R,PHE068,aac(3)-IId,,,,armA,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE069,UK,K. pneumoniae,R,R,PHE069,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE070,UK,K. pneumoniae,R,R,PHE070,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE071,UK,K. pneumoniae,R,R,PHE071,aac(3)-IId,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,blaVIM-1-like
PHE072,UK,K. pneumoniae,S,R,PHE072,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE073,UK,K. pneumoniae,R,R,PHE073,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,,,
PHE074,UK,K. pneumoniae,R,R,PHE074,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G_2pos,,,,,,,,,,,,,,,,
PHE075,UK,K. pneumoniae,R,R,PHE075,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE076,UK,K. pneumoniae,R,R,PHE076,aac(3)-IIe,,,,,,,,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,,,
PHE077,UK,K. pneumoniae,R,R,PHE077,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE078,UK,K. pneumoniae,R,R,PHE078,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE079,UK,K. pneumoniae,R,R,PHE079,aac(3)-IIe,,aacA4GEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE080,UK,K. pneumoniae,R,R,PHE080,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE081,UK,K. pneumoniae,R,R,PHE081,,,,,armA,,,G1-240G+G9-240D,,,,,,,,,blaOXA-48-like,,,,,,,
PHE082,UK,K. pneumoniae,R,R,PHE082,aac(3)-IIe,,,,,,,G1-240G,,,,blaIMP-4-like_13neg,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE083,UK,K. pneumoniae,R,R,PHE083,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE084,UK,K. pneumoniae,R,R,PHE084,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE085,UK,K. pneumoniae,R,R,PHE085,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE086,UK,K. pneumoniae,R,R,PHE086,aac(3)-IIe,,,aadB,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,blaVIM-1-like
PHE087,UK,K. pneumoniae,R,R,PHE087,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE088,UK,K. pneumoniae,R,R,PHE088,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE089,UK,K. pneumoniae,R,R,PHE089,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,,,
PHE090,UK,K. pneumoniae,R,R,PHE090,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE091,UK,K. pneumoniae,R,R,PHE091,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE092,UK,K. pneumoniae,R,R,PHE092,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,rmtC,,,blaTEM-1-like,,
PHE093,UK,K. pneumoniae,R,R,PHE093,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE094,UK,K. pneumoniae,R,R,PHE094,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-181-like,,,,,blaTEM-1-like,,
PHE095,UK,K. pneumoniae,R,R,PHE095,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE096,UK,K. pneumoniae,R,R,PHE096,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE097,UK,K. pneumoniae,R,R,PHE097,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE098,UK,K. pneumoniae,R,R,PHE098,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE099,UK,K. pneumoniae,R,R,PHE099,,,,,,,,G1-240G,,,,,,,,,blaOXA-181-like,,,rmtF,,blaTEM-1-like,,
PHE100,UK,K. pneumoniae,R,R,PHE100,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE101,UK,E. coli,R,S,PHE101,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE102,UK,E. coli,R,R,PHE102,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE103,UK,E. coli,R,S,PHE103,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE104,UK,E. coli,R,S,PHE104,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE105,UK,E. coli,R,S,PHE105,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE106,UK,E. coli,R,R,PHE106,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE107,UK,E. coli,R,S,PHE107,,,,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE108,UK,E. coli,R,R,PHE108,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE109,UK,E. coli,R,S,PHE109,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE110,UK,E. coli,R,S,PHE110,,,,,,,,G8,,,,,,,,,,,,,,,,
PHE111,UK,E. coli,R,S,PHE111,,,,,,,,G1-240G_2pos,,,,,,,,,,,,,,,,
PHE112,UK,E. coli,R,R,PHE112,aac(3)-IIe,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,,,
PHE113,UK,E. coli,R,S,PHE113,,,,,,,blaCMY-2-like,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE115,UK,E. coli,R,R,PHE115,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE116,UK,E. coli,R,S,PHE116,aac(3)-II_3neg,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE117,UK,E. coli,R,S,PHE117,,,,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE118,UK,E. coli,R,S,PHE118,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE120,UK,E. coli,R,R,PHE120,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE121,UK,E. coli,R,R,PHE121,,,,aadB,,,blaCMY-2-like,,,,,,,,,,,,,,,,,blaVIM-1-like
PHE122,UK,E. coli,R,S,PHE122,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE123,UK,E. coli,R,S,PHE123,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE124,UK,E. coli,R,S,PHE124,,,,,,,,G9-240D,,,,,,,,,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE125,UK,E. coli,R,S,PHE125,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE127,UK,E. coli,R,R,PHE127,aac(3)-IId,,aacA4notGEN_1neg,,armA,,,,blaDHA,,,,,blaNDM,,,,,,,,blaTEM-1-like,,
PHE128,UK,E. coli,R,S,PHE128,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE129,UK,E. coli,R,S,PHE129,,,,,,,,G9-240D,,,,,,,,,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE130,UK,E. coli,R,R,PHE130,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,,,
PHE131,UK,E. coli,R,S,PHE131,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE132,UK,E. coli,R,S,PHE132,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE133,UK,E. coli,R,R,PHE133,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE136,UK,E. coli,R,R,PHE136,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE137,UK,E. coli,R,S,PHE137,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE139,UK,E. coli,R,S,PHE139,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE140,UK,E. coli,R,R,PHE140,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE141,UK,E. coli,R,S,PHE141,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE143,UK,E. coli,R,S,PHE143,,,,,,,,,,,,,,blaNDM,,,,,,,,blaTEM-1-like,,
PHE144,UK,E. coli,R,R,PHE144,aac(3)-IIe,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,,,
PHE147,UK,E. coli,R,S,PHE147,,,,,,,blaCMY-2-like,G9-240G,,,,,,,,,blaOXA-181-like,,,,,blaTEM-1-like,,
PHE148,UK,E. coli,R,S,PHE148,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE150,UK,E. coli,R,S,PHE150,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G_2pos,,,,,,,,,,,,,,,,
PHE151,UK,K. pneumoniae,R,R,PHE151,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE152,UK,K. pneumoniae,R,R,PHE152,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
PHE153,UK,K. pneumoniae,R,R,PHE153,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE154,UK,K. pneumoniae,R,R,PHE154,aac(3)-IId,,,,,,blaCMY-2-like,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE155,UK,K. pneumoniae,R,S,PHE155,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE156,UK,K. pneumoniae,R,R,PHE156,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE157,UK,K. pneumoniae,R,R,PHE157,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE158,UK,K. pneumoniae,R,R,PHE158,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE159,UK,K. pneumoniae,R,R,PHE159,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE160,UK,K. pneumoniae,R,S,PHE160,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE161,UK,K. pneumoniae,R,S,PHE161,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
PHE162,UK,K. pneumoniae,R,S,PHE162,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE163,UK,K. pneumoniae,R,S,PHE163,,,,,,,blaCMY-2-like,,,,,,,,,,,,,,,,,
PHE164,UK,K. pneumoniae,,,PHE164,,,,,,,blaCMY-2-like,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE165,UK,K. pneumoniae,R,S,PHE165,,,,,,,,G1-240G,,,,,,,,,,,,,,,,
PHE166,UK,K. pneumoniae,R,R,PHE166,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,rmtC,,,blaTEM-1-like,,
PHE167,UK,K. pneumoniae,R,S,PHE167,,,,,,,,,blaDHA,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,,,
PHE168,UK,K. pneumoniae,R,R,PHE168,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
PHE169,UK,K. pneumoniae,R,R,PHE169,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE170,UK,K. pneumoniae,R,R,PHE170,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE171,UK,K. pneumoniae,R,S,PHE171,,,,,,,,,,,,,,,,,,,,,,,,
PHE172,UK,K. pneumoniae,R,R,PHE172,aac(3)-IId,,aacA4notGEN_1neg,,,,,G9-240D,,,,,,,,,,,,,,blaTEM-1-like,,
PHE173,UK,K. pneumoniae,R,R,PHE173,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE174,UK,K. pneumoniae,R,R,PHE174,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE175,UK,K. pneumoniae,R,R,PHE175,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE176,UK,K. pneumoniae,R,S,PHE176,,,,,,,,,,,,,,blaNDM,,,,,,,,,,
PHE177,UK,K. pneumoniae,R,R,PHE177,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,blaOXA-48-like,,,,,,,
PHE178,UK,K. pneumoniae,R,S,PHE178,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE179,UK,K. pneumoniae,R,S,PHE179,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE180,UK,K. pneumoniae,R,S,PHE180,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE181,UK,K. pneumoniae,R,R,PHE181,aac(3)-IId,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE182,UK,K. pneumoniae,R,S,PHE182,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE183,UK,K. pneumoniae,R,R,PHE183,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE184,UK,K. pneumoniae,R,S,PHE184,,,,aadB,,,,G9-240D,,,,,blaKPC,,,,,,,,,,,
PHE185,UK,K. pneumoniae,R,R,PHE185,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE186,UK,K. pneumoniae,R,S,PHE186,,,,,,,,G1-240D_2pos,,,,,,,,,,,,,,blaTEM-1-like,,
PHE187,UK,K. pneumoniae,R,R,PHE187,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE188,UK,K. pneumoniae,R,R,PHE188,aac(3)-IIe,,,,,,,,,,,,blaKPC,,,blaOXA-30-like,,,,,,,,
PHE189,UK,K. pneumoniae,R,R,PHE189,aac(3)-IIe,,,,,,,,blaDHA,,,,,,,blaOXA-30-like,blaOXA-181-like,,,,,blaTEM-1-like,,
PHE190,UK,K. pneumoniae,R,R,PHE190,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE191,UK,K. pneumoniae,R,R,PHE191,aac(3)-IIe,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE192,UK,K. pneumoniae,R,S,PHE192,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE193,UK,K. pneumoniae,R,S,PHE193,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
PHE194,UK,K. pneumoniae,R,R,PHE194,aac(3)-IIe,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,,,
PHE195,UK,K. pneumoniae,R,S,PHE195,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
PHE196,UK,K. pneumoniae,R,S,PHE196,,,,,,,,G1-240G,,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
PHE197,UK,K. pneumoniae,R,R,PHE197,,,,,,,,G2,,,,,,,,,,,,,,,,
PHE198,UK,K. pneumoniae,R,R,PHE198,aac(3)-IIe,,aacA4GEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE199,UK,K. pneumoniae,R,R,PHE199,,,,,armA,,,G1-240G+G9-240D,,,,,,,,,blaOXA-48-like,,,,,,,
PHE200,UK,K. pneumoniae,R,S,PHE200,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
PHE201,UK,E. coli,S,S,PHE201,aac(3)-IIe_3neg,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE202,UK,E. coli,S,S,PHE202,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
PHE203,UK,E. coli,S,S,PHE203,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE204,UK,E. coli,S,S,PHE204,,,,,,,,,,,,,,,,,,,,,,,,
PHE205,UK,E. coli,S,S,PHE205,,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE206,UK,E. coli,S,S,PHE206,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE207,UK,E. coli,S,S,PHE207,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE208,UK,E. coli,,,PHE208,,,,,,,,,,,,,,,,,,,,,,,,
PHE209,UK,E. coli,,,PHE209,,,,,,,,,,,,,,,,,,,,,,,,
PHE210,UK,E. coli,S,S,PHE210,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE211,UK,E. coli,S,S,PHE211,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE212,UK,E. coli,S,S,PHE212,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE213,UK,E. coli,,,PHE213,,,,,,,,,,,,,,,,,,,,,,,,
PHE214,UK,E. coli,S,S,PHE214,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,blaTEM-1-like,,
PHE215,UK,E. coli,S,S,PHE215,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE216,UK,E. coli,S,S,PHE216,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE217,UK,E. coli,S,S,PHE217,,,,,,,,,,,,,,,,,,,,,,,,
PHE218,UK,E. coli,S,S,PHE218,,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE219,UK,E. coli,,,PHE219,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE220,UK,E. coli,S,S,PHE220,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE221,UK,E. coli,,,PHE221,,,,,,,,,,,,,,,,,,,,,,,,
PHE222,UK,E. coli,S,S,PHE222,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE223,UK,E. coli,,,PHE223,,,,,,,,,,,,,,,,,,,,,,,,
PHE225,UK,E. coli,S,S,PHE225,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE227,UK,E. coli,S,S,PHE227,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE228,UK,E. coli,S,S,PHE228,,,,,,,,,,,,,,,,,,,,,,,,
PHE229,UK,E. coli,S,S,PHE229,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE230,UK,E. coli,S,S,PHE230,,,,,,,,,,,,,,,,,,,,,,,,
PHE231,UK,E. coli,,,PHE231,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE232,UK,E. coli,S,S,PHE232,,,,,,,,,,,,,,,,,,,,,,,,
PHE233,UK,E. coli,S,S,PHE233,negative,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE234,UK,E. coli,S,S,PHE234,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE235,UK,E. coli,S,S,PHE235,,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,,,
PHE236,UK,E. coli,S,S,PHE236,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE237,UK,E. coli,S,S,PHE237,,,,,,,,,,,,,,,,,,,,,,,,
PHE238,UK,E. coli,S,S,PHE238,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE239,UK,E. coli,S,S,PHE239,negative,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE240,UK,E. coli,S,S,PHE240,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE241,UK,E. coli,S,S,PHE241,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE242,UK,E. coli,S,S,PHE242,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE243,UK,E. coli,S,S,PHE243,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE244,UK,E. coli,,,PHE244,,,,,,,,,,,,,,,,,,,,,,,,
PHE245,UK,E. coli,S,S,PHE245,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE246,UK,E. coli,S,S,PHE246,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
PHE247,UK,E. coli,,,PHE247,,,,,,,,,,,,,,,,,,,,rmtF_MUT,,,,
PHE248,UK,E. coli,S,S,PHE248,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE250,UK,E. coli,S,S,PHE250,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE251,UK,K. pneumoniae,S,S,PHE251,,,,,,,,,,,,,,,,,,,,,,,,
PHE252,UK,K. pneumoniae,S,S,PHE252,,,,,,,,,,,,,,,,,,,,,,,,
PHE253,UK,K. pneumoniae,S,S,PHE253,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE254,UK,K. pneumoniae,S,S,PHE254,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE255,UK,K. pneumoniae,S,S,PHE255,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE256,UK,K. pneumoniae,S,S,PHE256,,,,,,,,,,,,,,,,,,,,,,,,
PHE257,UK,K. pneumoniae,S,S,PHE257,,,,aadB,,,,,,,,,,,,,,,,,,,,
PHE258,UK,K. pneumoniae,S,S,PHE258,,,,,,,,,,,,,,,,,,,,,,,,
PHE259,UK,K. pneumoniae,S,S,PHE259,,,,,,,,,,,,,,,,,,,,,,,,
PHE260,UK,K. pneumoniae,S,S,PHE260,,,,,,,,,,,,,,,,,,,,,,,,
PHE261,UK,K. pneumoniae,S,S,PHE261,,,,,,,,,,,,,,,,,,,,,,,,
PHE262,UK,K. pneumoniae,S,S,PHE262,,,,,,,,,,,,,,,,,,,,,,,,
PHE263,UK,K. pneumoniae,S,S,PHE263,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE264,UK,K. pneumoniae,S,S,PHE264,,,,,,,,,,,,,,,,,blaOXA-48-like,,,,,,,
PHE265,UK,K. pneumoniae,S,S,PHE265,,,,,,,,,,,,,,,,,,,,,,,,
PHE266,UK,K. pneumoniae,S,S,PHE266,,,,,,,,,,,,,,,,,,,,,,,,
PHE267,UK,K. pneumoniae,S,S,PHE267,,,,,,,,,,,,,,,,,,,,,,,,
PHE268,UK,K. pneumoniae,S,S,PHE268,,,,,,,,,,,,,,,,,,,,,,,,
PHE269,UK,K. pneumoniae,S,S,PHE269,,,,,,,,,,,,,,,,,,,,,,,,
PHE270,UK,K. pneumoniae,S,S,PHE270,,,,,,,,,,,,,,,,,,,,,,,,
PHE271,UK,K. pneumoniae,S,S,PHE271,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
PHE272,UK,K. pneumoniae,S,S,PHE272,,,,,,,,,,,,,,,,,,,,,,,,
PHE273,UK,K. pneumoniae,S,S,PHE273,,,,,,,,,,,,,,,,,,,,,,,,
PHE274,UK,K. pneumoniae,S,S,PHE274,,,,,,,,,,,,,,,,,,,,,,,,
PHE275,UK,K. pneumoniae,S,S,PHE275,,,,,,,,,,,,,,,,,,,,,,,,
PHE276,UK,K. pneumoniae,S,S,PHE276,,,,,,,,,,,,,,,,,,,,,,,,
PHE277,UK,K. pneumoniae,S,S,PHE277,,,,,,,,,,,,,,,,,,,,,,,,
PHE278,UK,K. pneumoniae,S,S,PHE278,,,,,,,,,,,,,,,,,,,,,,,,
PHE279,UK,K. pneumoniae,S,S,PHE279,,,,,,,,,,,,,,,,,,,,,,,,
PHE280,UK,K. pneumoniae,S,S,PHE280,,,,,,,,,,,,,,,,,,,,,,,,
PHE281,UK,K. pneumoniae,S,S,PHE281,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
PHE282,UK,K. pneumoniae,S,S,PHE282,,,,,,,,,,,,,,,,,,,,,,,,
PHE283,UK,K. pneumoniae,S,S,PHE283,,,,,,,,,,,,,,,,,,,,,,,,
PHE284,UK,K. pneumoniae,S,S,PHE284,,,,,,,,,,,,,,,,,,,,,,,,
